# X 	 Y 	 E 	 DX

0.0269153	5.68115	0.0619053	0.00257052
0.0275423	5.31428	0.207427	0.00258916
0.0281838	2.55447	0.30851	0.00260853
0.0288403	109.242	1.67906	0.00262866
0.0295121	398.658	5.58415	0.00264959
0.0301995	9.35142	0.359761	0.00267132
0.0309029	12.1806	0.304252	0.00269388
0.0316228	5.88415	0.230042	0.00271731
0.0323594	285.691	2.69271	0.00274163
0.0331131	10.9679	0.223114	0.00276686
0.0338844	21.1257	0.476271	0.00279304
0.0346737	7.00726	0.341461	0.0028202
0.0354813	221.291	2.07286	0.00284835
0.0363078	27.9122	0.463992	0.00287754
0.0371536	6.46176	0.300937	0.00290779
0.0380189	148.134	2.04576	0.00293913
0.0389045	91.3815	1.09623	0.00297159
0.0398107	12.2718	0.224128	0.00300521
0.040738	6.19119	0.206387	0.00304001
0.0416869	99.9219	0.959168	0.00307603
0.042658	11.2708	0.233892	0.00311331
0.0436516	6.8741	0.323668	0.00315186
0.0446684	68.9834	0.686964	0.00319174
0.0457088	11.1912	0.262088	0.00323296
0.0467735	6.14362	0.242308	0.00327558
0.047863	31.8705	0.317491	0.00331961
0.0489779	9.21727	0.211234	0.00336511
0.0501187	19.4871	0.300206	0.00341209
0.0512862	28.8451	0.377866	0.00346061
0.0524807	4.50366	0.16878	0.0035107
0.0537031	35.3548	0.417336	0.00356239
0.0549541	6.88261	0.150935	0.00361572
0.0562341	10.8974	0.181984	0.00367074
0.057544	15.3936	0.214302	0.00372748
0.0588844	4.36521	0.13433	0.00378599
0.060256	22.6486	0.287084	0.0038463
0.0616595	3.84603	0.137111	0.00390845
0.0630958	12.2754	0.167321	0.00397249
0.0645654	4.66938	0.111394	0.00403846
0.0660693	13.1422	0.204421	0.0041064
0.0676083	4.49001	0.110478	0.00417636
0.0691831	10.2399	0.170565	0.00424838
0.0707946	4.20122	0.0970584	0.00432251
0.0724436	8.00988	0.128258	0.0043988
0.0741311	3.18763	0.100547	0.00447729
0.0758578	7.59906	0.131906	0.00455802
0.0776247	4.53622	0.125324	0.00464106
0.0794328	4.56674	0.0824214	0.00472645
0.081283	4.71681	0.0919139	0.00481424
0.0831764	3.373	0.0982742	0.00490448
0.0851138	4.99459	0.10076	0.00499723
0.0870964	3.5584	0.0769793	0.00509254
0.0891251	2.81325	0.0832062	0.00519047
0.0912011	3.71017	0.0828245	0.00529107
0.0933254	3.36991	0.0851162	0.0053944
0.0954993	2.50411	0.0717508	0.00550052
0.0977237	3.382	0.0804215	0.00560949
0.1	3.06382	0.0760295	0.00572138
0.10233	2.72042	0.0706677	0.00583624
0.104713	2.39172	0.071629	0.00595413
0.107152	2.69963	0.074308	0.00607512
0.109648	2.48293	0.0652776	0.0061993
0.112202	2.4823	0.0671129	0.00632671
0.114816	2.55074	0.0698036	0.00645743
0.11749	2.06809	0.0641133	0.00659154
0.120227	2.14409	0.0623958	0.00672909
0.123027	2.06601	0.0648516	0.00687019
0.125893	1.91465	0.057416	0.00701488
0.128825	2.04035	0.0587132	0.00716327
0.131826	1.96733	0.0612987	0.00731544
0.134896	1.76931	0.0537253	0.00747145
0.138039	1.76514	0.0546209	0.00763138
0.141254	1.77185	0.0530489	0.00779535
0.144544	1.86683	0.0546414	0.00796341
0.147911	1.68185	0.0507822	0.00813567
0.151356	1.63249	0.0496358	0.00831225
0.154882	1.54487	0.0505014	0.0084932
0.158489	1.4707	0.0474689	0.00867863
0.162181	1.57844	0.0497202	0.00886867
0.165959	1.46122	0.0445101	0.0090634
0.169824	1.49815	0.0472669	0.00926289
0.17378	1.34436	0.0437906	0.00946728
0.177828	1.49013	0.0452081	0.00967669
0.18197	1.33066	0.0423232	0.00989121
0.186208	1.37075	0.042436	0.010111
0.190546	1.35172	0.0412922	0.0103361
0.194985	1.2617	0.0415531	0.0105667
0.199526	1.34464	0.0408848	0.0108028
0.204174	1.19676	0.0390207	0.0110447
0.208929	1.19609	0.0396079	0.0112924
0.213796	1.21574	0.0376357	0.0115462
0.218776	1.10671	0.0369898	0.011806
0.223872	1.18282	0.0369616	0.0120721
0.229086	1.09333	0.0355401	0.0123445
0.234423	1.06673	0.0343833	0.0126236
0.239883	1.06459	0.0341127	0.0129093
0.24547	1.09925	0.0340364	0.0132018
0.251188	0.998999	0.0320032	0.0135014
0.257039	1.03367	0.0313941	0.0138081
0.263026	1.02783	0.0311126	0.0141221
0.269153	0.946857	0.0302813	0.0144436
0.275423	0.911504	0.0295699	0.0147727
0.281838	0.898049	0.0286858	0.0151097
0.288403	0.854007	0.0281419	0.0154547
0.295121	0.861516	0.0273216	0.0158079
0.301995	0.818368	0.0268792	0.0161694
0.30903	0.810046	0.0262451	0.0165396
0.316228	0.803851	0.0257132	0.0169185
0.323594	0.736286	0.0252417	0.0173063
0.331132	0.784764	0.0252227	0.0177034
0.338844	0.679995	0.0251213	0.0181098
0.346737	0.644682	0.0251896	0.0185258
0.354814	0.606693	0.024844	0.0189516
0.363078	0.533813	0.0250727	0.0193875
0.371535	0.421602	0.0251814	0.0198337
0.380189	0.339972	0.0257585	0.0202904
0.389045	0.318727	0.025178	0.0207578
0.398108	0.284221	0.0253061	0.0212363
0.407381	0.283407	0.0239516	0.021726
0.41687	0.262821	0.0245465	0.0222272
0.42658	0.236379	0.0245177	0.0227402
0.436516	0.263223	0.0235646	0.0232653
0.446684	0.252194	0.0235223	0.0238027
0.457089	0.275906	0.0225365	0.0243527
0.467735	0.25919	0.0221467	0.0249156
0.47863	0.252656	0.0223812	0.0254918
0.489779	0.246056	0.0214872	0.0260814
0.501188	0.250959	0.0212133	0.0266849
0.512862	0.225318	0.0209504	0.0273025
0.524808	0.219938	0.0203782	0.0279346
0.537032	0.206075	0.0199627	0.0285815
0.549541	0.192086	0.0194508	0.0292436
0.562342	0.203988	0.0193017	0.0299212
0.57544	0.175772	0.0189455	0.0306146
0.588844	0.183561	0.0183032	0.0313243
0.602559	0.20064	0.0182343	0.0320505
0.616595	0.178592	0.0212835	0.0327938
0.630957	0.18038	0.0259646	0.0335545
0.645655	0.176684	0.0321841	0.0343329
0.660694	0.187781	0.0461414	0.0351296
0.676083	0.267075	0.10581	0.0359449
0.691831	0	0	0.0367792
0.707946	0	0	0.037633
0.724436	0	0	0.0385068
